piste,X,Y,Z,formation
1,246456.18,6709159.129,25.096,Sa
1,246456.18,6709159.129,24.496,Hk
1,246456.18,6709159.129,24.296,Sa
1,246456.18,6709159.129,9.896,Mr
1,247856.753,6709348.456,40.766,Sa
1,247856.753,6709348.456,40.546,Ki
2,246408.318,6709110.304,24.829,Sa
2,246408.318,6709110.304,4.459,Mr
2,247899.271,6709359.579,40.942,Sa
2,247899.271,6709359.579,40.562,Ki
3,247628.107,6708978.595,28.744,Sa
3,247628.107,6708978.595,24.744,Mr
3,246350.309,6709081.73,9.778,Sa
3,246350.309,6709081.73,9.738,Mr
3,247940.869,6709349.517,40.465,Sa
3,247940.869,6709349.517,40.145,Ki
4,247621.308,6708976.878,28.993,Sa
4,247621.308,6708976.878,25.543,Mr
4,246268.888,6709029.759,25.712,Sa
4,246268.888,6709029.759,16.712,Hk
4,246268.888,6709029.759,15.912,Sr
4,246268.888,6709029.759,15.512,Mr
4,247977.876,6709345.167,37.917,Sa
4,247977.876,6709345.167,37.197,Ki
5,247603.327,6708977.956,29.087,Sa
5,247603.327,6708977.956,25.887,Mr
5,246237.641,6709012.769,25.895,Sa
5,246237.641,6709012.769,15.295,Hk
5,246237.641,6709012.769,13.015,Mr
5,248012.12,6709339.714,34.678,Sa
5,248012.12,6709339.714,33.398,Ki
6,246157.365,6708976.83,26.163,Sa
6,246157.365,6708976.83,21.573,Mr
6,248009.682,6709390.357,26.615,Sa
6,248009.682,6709390.357,23.855,Ki
7,246125.664,6709023.314,27.227,Sa
7,246125.664,6709023.314,21.377,Sr
7,248035.259,6709464.737,31.619,Sa
7,248035.259,6709464.737,27.859,Ki
8,246217.277,6709072.394,26.06,Sa
8,246217.277,6709072.394,21.06,Hk
8,246217.277,6709072.394,20.86,Sa
8,246217.277,6709072.394,20.32,Mr
8,248000.489,6709433.066,31.769,Sa
8,248000.489,6709433.066,21.709,Ki
9,246306.17,6709116.432,25.735,Sa
9,246306.17,6709116.432,3.375,Mr
9,247947.406,6709448.952,31.27,Sa
9,247947.406,6709448.952,23.55,Ki
10,246402.338,6709169.918,24.963,Sa
10,246402.338,6709169.918,8.763,Mr
10,247887.19,6709464.181,31.385,Sa
10,247887.19,6709464.181,26.985,Mr
10,247887.19,6709464.181,26.055,Ki
10,247887.19,6709464.181,25.525,Mr
11,246351.561,6709275.581,25.715,Sa
11,246351.561,6709275.581,4.795,Mr
11,247994.005,6709303.712,35.637,Sa
11,247994.005,6709303.712,34.577,Ki
12,246323.738,6709214.897,24.454,Sa
12,246323.738,6709214.897,7.054,Hk
12,246323.738,6709214.897,6.054,Mr
12,247967.706,6709224.467,32.202,Sa
12,247967.706,6709224.467,28.602,Ki
13,246217.519,6709177.564,25.109,Sa
13,246217.519,6709177.564,14.709,Mr
13,247824.02,6709204.035,31.347,Ki
13,247824.02,6709204.035,30.767,Sa
13,247824.02,6709204.035,30.627,Ki
13,247824.02,6709204.035,30.247,Sa
13,247824.02,6709204.035,27.587,Ki
14,246171.611,6709158.412,26.592,Sa
14,246171.611,6709158.412,18.792,Hk
14,246171.611,6709158.412,18.392,Mr
14,247797.018,6709330.719,44.479,Sa
14,247797.018,6709330.719,44.019,Ki
15,246158.006,6709078.011,26.917,Sa
15,246158.006,6709078.011,23.887,Mr
15,247729.254,6709315.971,45.103,Sa
15,247729.254,6709315.971,44.663,Ki
16,246106.398,6709064.206,26.98,Sa
16,246106.398,6709064.206,17.78,Sr
16,246106.398,6709064.206,16.18,Hk
16,246106.398,6709064.206,7.46,Mr
16,246177.529,6709157.257,18.901,Sa
16,247730.269,6709187.715,31.817,Hk
16,247730.269,6709187.715,31.617,Sr
16,247730.269,6709187.715,31.217,Sa
16,247730.269,6709187.715,30.817,Sr
16,247730.269,6709187.715,30.617,Mr
16,247730.269,6709187.715,30.417,Ki
16,247730.269,6709187.715,29.747,Mr
17,246097.816,6709101.303,27.025,Sa
17,246097.816,6709101.303,9.095,Mr
17,247689.899,6709195.473,31.891,Sa
17,247689.899,6709195.473,31.091,Sr
17,247689.899,6709195.473,30.891,Sa
17,247689.899,6709195.473,30.491,Mr
17,247689.899,6709195.473,30.171,Ki
17,247689.899,6709195.473,29.961,Mr
18,246125.079,6709148.326,26.334,Sa
18,246125.079,6709148.326,16.934,Sr
18,246125.079,6709148.326,15.734,Hk
18,246125.079,6709148.326,13.934,Sr
18,246125.079,6709148.326,13.534,Hk
18,246125.079,6709148.326,11.534,Mr
18,247671.235,6709213.837,33.649,Ki
18,247671.235,6709213.837,33.389,Srmr
18,247671.235,6709213.837,32.789,Sa
18,247671.235,6709213.837,32.589,Mr
18,247671.235,6709213.837,32.499,Ki
18,247671.235,6709213.837,32.229,Mr
19,246092.684,6709179.506,28.045,Sa
19,246092.684,6709179.506,22.495,Mr
19,247645.972,6709245.457,35.995,Sr
19,247645.972,6709245.457,35.805,Ki
19,247645.972,6709245.457,35.655,Srmr
20,246089.461,6709249.458,29.553,Sa
20,247631.137,6709267.898,35.059,Mr
20,247631.137,6709267.898,34.959,Ki
20,247631.137,6709267.898,33.919,Srmr
21,246147.815,6709230.243,27.765,Sa
21,246147.815,6709230.243,22.365,Hk
21,246147.815,6709230.243,22.165,Sa
21,246147.815,6709230.243,20.965,Sr
21,246147.815,6709230.243,15.795,Mr
21,247596.51,6709270.593,33.189,Srmr
21,247596.51,6709270.593,33.139,Ki
21,247596.51,6709270.593,32.699,Srmr
22,247563.505,6709272.244,29.852,Sa
22,247563.505,6709272.244,29.452,Mr
22,247563.505,6709272.244,29.372,Ki
22,247563.505,6709272.244,28.732,Mr
22,246165.99,6709299.81,29.143,Sa
22,246165.99,6709299.81,24.903,Mr
23,247541.387,6709284.102,27.151,Ki
23,247541.387,6709284.102,26.761,Mr
23,246215.556,6709336.924,27.05,Sa
23,246215.556,6709336.924,8.45,Sr
23,246215.556,6709336.924,6.74,Mr
24,247532.287,6709264.979,28.125,Sa
24,247532.287,6709264.979,27.725,Mr
24,247532.287,6709264.979,27.665,Ki
24,247532.287,6709264.979,27.565,Mr
24,246252.433,6709289.712,26.262,Sa
24,246252.433,6709289.712,7.902,Mr
25,247468.96,6709279.572,16.302,Sa
25,247468.96,6709279.572,8.302,Hk
25,247468.96,6709279.572,7.502,Sa
25,247468.96,6709279.572,5.502,Mr
25,247468.96,6709279.572,5.472,Ki
25,247468.96,6709279.572,4.872,Mr
25,246298.219,6709360.223,26.29,Sa
25,246298.219,6709360.223,6.8,Mr
26,247492.815,6709261.835,18.123,Sa
26,247492.815,6709261.835,12.913,Ki
26,247492.815,6709261.835,11.683,Sr
26,247492.815,6709261.835,11.443,Ki
26,247492.815,6709261.835,11.293,Mr
26,246345.368,6709380.204,12.291,Sa
26,246345.368,6709380.204,12.111,Mr
27,247515.104,6709235.815,27.367,Sa
27,247515.104,6709235.815,26.767,Hk
27,247515.104,6709235.815,26.567,Srmr
27,247515.104,6709235.815,26.387,Ki
27,247515.104,6709235.815,25.827,Mr
27,246404.624,6709400.263,12.314,Sa
27,246404.624,6709400.263,12.214,Mr
28,247527.764,6709213.353,29.629,Srmr
28,247527.764,6709213.353,29.499,Ki
28,247527.764,6709213.353,28.869,Mr
28,246263.846,6709394.88,26.82,Sa
28,246263.846,6709394.88,26.42,Hk
28,246263.846,6709394.88,26.22,Sa
28,246263.846,6709394.88,8.69,Mr
29,246194.755,6709398.984,27.407,Sa
29,246194.755,6709398.984,11.607,Hk
29,246194.755,6709398.984,9.097,Mr
30,247553.41,6709163.031,28.681,Sa
30,247553.41,6709163.031,28.481,Hk
30,247553.41,6709163.031,28.081,Mr
30,247553.41,6709163.031,27.691,Ki
30,247553.41,6709163.031,26.711,Mr
30,246173.69,6709456.052,27.725,Sa
30,246173.69,6709456.052,18.775,Mr
31,247567.485,6709137.28,29.766,Sa
31,247567.485,6709137.28,29.366,Hk
31,247567.485,6709137.28,29.166,Sr
31,247567.485,6709137.28,28.726,Ki
31,246131.183,6709485.641,28.498,Sa
31,246131.183,6709485.641,22.098,Hk
31,246131.183,6709485.641,21.898,Sa
31,246131.183,6709485.641,19.088,Mr
32,247591.619,6709129.762,29.965,Sa
32,247591.619,6709129.762,29.165,Hk
32,247591.619,6709129.762,28.365,Ki
32,247591.619,6709129.762,27.195,Mr
32,246287.244,6709502.68,27.827,Sa
32,246287.244,6709502.68,27.427,Hk
32,246287.244,6709502.68,27.027,Sa
32,246287.244,6709502.68,16.307,Mr
33,247660.286,6709113.756,28.52,Sa
33,247660.286,6709113.756,22.72,Hk
33,247660.286,6709113.756,22.56,Ki
33,246316.805,6709446.977,26.718,Sa
33,246316.805,6709446.977,15.178,Mr
34,247670.149,6709154.11,29.031,Sa
34,247670.149,6709154.11,27.031,Mr
34,247670.149,6709154.11,26.961,Ki
34,247670.149,6709154.11,26.841,Mr
34,246257.214,6709569.964,28.736,Sa
34,246257.214,6709569.964,28.536,Sr
34,246257.214,6709569.964,27.936,Sa
34,246257.214,6709569.964,20.936,Hk
34,246257.214,6709569.964,20.336,Sa
34,246257.214,6709569.964,18.606,Mr
35,247714.574,6709094.023,22.618,Sa
35,247714.574,6709094.023,18.218,Hk
35,247714.574,6709094.023,17.418,Sr
35,247714.574,6709094.023,17.108,Ki
35,247714.574,6709094.023,15.908,Mr
35,246182.836,6709572.505,28.568,Sr
35,246182.836,6709572.505,27.928,Sa
35,246182.836,6709572.505,15.638,Mr
36,247720.671,6709030.716,21.639,Sa
36,247720.671,6709030.716,14.239,Hk
36,247720.671,6709030.716,14.209,Ki
36,246064.574,6709561.532,29.584,Sa
36,246064.574,6709561.532,10.844,Mr
37,247742.391,6708972.308,23.251,Sa
37,247742.391,6708972.308,17.201,Ki
38,247762.324,6708912.041,28.527,Sa
38,247762.324,6708912.041,20.127,Hk
38,247762.324,6708912.041,20.117,Ki
39,247759.155,6708853.639,28.409,Sa
39,247759.155,6708853.639,11.689,Ki
40,247704.002,6708832.266,28.822,Sa
40,247704.002,6708832.266,19.762,Ki
41,247714.869,6708793.141,29.269,Sa
41,247714.869,6708793.141,19.389,Ki
42,247632.807,6708824.56,28.714,Sa
42,247632.807,6708824.56,19.154,Ki
43,247618.373,6708865.166,27.475,Sa
43,247618.373,6708865.166,23.815,Ki
44,247602.092,6708883.876,28.382,Sa
44,247602.092,6708883.876,24.962,Ki
45,247608.004,6708932.185,28.827,Sa
47,247610.206,6708958.977,29.334,Ki
47,247610.206,6708958.977,28.954,Sa
47,247610.206,6708958.977,28.674,Ki
48,247610.584,6708979.082,28.656,Sa
48,247610.584,6708979.082,25.096,Ki
49,247596.434,6709028.329,28.545,Sa
49,247596.434,6709028.329,24.105,Ki
50,247601.41,6709081.791,28.931,Sa
50,247601.41,6709081.791,26.731,Sr
50,247601.41,6709081.791,25.771,Ki
50,247601.41,6709081.791,25.591,Mr
51,247512.749,6709034.054,29.029,Sa
51,247512.749,6709034.054,27.629,Srmr
51,247512.749,6709034.054,27.509,Ki
52,247495.29,6709062.047,29.636,Sa
52,247495.29,6709062.047,29.036,Hk
52,247495.29,6709062.047,28.986,Ki
53,247483.684,6709090.151,30.35,Sa
53,247483.684,6709090.151,29.95,Mr
53,247483.684,6709090.151,29.83,Ki
53,247483.684,6709090.151,29.35,Mr
54,247459.588,6709086.746,30.187,Sa
54,247459.588,6709086.746,29.947,Ki
55,247434.209,6709080.052,30.491,Sa
55,247434.209,6709080.052,30.211,Ki
56,247413.512,6709059.6,31.122,Sa
56,247413.512,6709059.6,30.822,Ki
57,247393.916,6709036.925,31.773,Sa
57,247393.916,6709036.925,31.313,Ki
58,247388.115,6709055.26,31.885,Sa
58,247388.115,6709055.26,31.825,Ki
59,247367.028,6709060.871,34.815,Sa
59,247367.028,6709060.871,34.035,Ki
60,247347.99,6709086.965,35.026,Sa
60,247347.99,6709086.965,34.866,Ki
61,247321.192,6709102.122,36.356,Sa
61,247321.192,6709102.122,35.956,Ki
62,247303.463,6709124.757,35.834,Sa
62,247303.463,6709124.757,35.474,Ki
63,247274.438,6709154.807,32.544,Sa
63,247274.438,6709154.807,31.804,Ki
64,247264.06,6709175.715,27.963,Sa
64,247264.06,6709175.715,25.943,Ki
65,247238.883,6709205.223,26.082,Sa
65,247238.883,6709205.223,23.922,Ki
65,247238.883,6709205.223,23.782,Mr
66,247302.984,6709189.497,26.437,Sa
66,247302.984,6709189.497,22.557,Ki
67,247328.086,6709139.588,36.026,Sa
67,247328.086,6709139.588,35.886,Ki
68,247360.969,6709145.28,32.811,Sa
68,247360.969,6709145.28,32.091,Ki
69,247350.707,6709298.942,19.098,Sa
69,247350.707,6709298.942,11.898,Hk
69,247350.707,6709298.942,11.848,Ki
70,247431.703,6709318.337,8.158,Sa
70,247431.703,6709318.337,6.818,Ki
71,247365.027,6709241.191,11.514,Sa
72,247342.255,6709196.393,26.989,Ki
72,247342.255,6709196.393,22.409,Sa
72,247342.255,6709196.393,20.489,Ki
73,247378.674,6709202.023,26.388,Sa
73,247378.674,6709202.023,17.268,Ki
73,247378.674,6709202.023,15.688,Sa
74,247389.943,6709161.253,28.308,Mr
74,247389.943,6709161.253,27.708,Sa
74,247389.943,6709161.253,25.308,Sr
74,247389.943,6709161.253,25.188,Ki
74,247389.943,6709161.253,23.628,Srmr
75,247419.916,6709177.435,27.399,Sa
75,247419.916,6709177.435,25.399,Hk
75,247419.916,6709177.435,24.799,Srmr
75,247419.916,6709177.435,24.599,Mr
75,247419.916,6709177.435,24.289,Ki
75,247419.916,6709177.435,24.289,Mr
76,247468.98,6709152.121,31.404,Ki
77,247474.076,6709181.941,27.53,Sa
77,247474.076,6709181.941,27.33,Mr
77,247474.076,6709181.941,27.19,Ki
78,247449.002,6709182.748,26.601,Sa
78,247449.002,6709182.748,25.801,Hk
78,247449.002,6709182.748,25.601,Sr
78,247449.002,6709182.748,25.401,Ki
79,247495.113,6709210.768,27.103,Sa
79,247495.113,6709210.768,22.933,Ki
80,247438.106,6709227.207,21.531,Sa
80,247438.106,6709227.207,15.731,Hk
80,247438.106,6709227.207,15.531,Ki
81,247887.415,6709460.888,31.553,Sa
81,247887.415,6709460.888,31.153,Hk
81,247887.415,6709460.888,28.553,Sa
81,247887.415,6709460.888,27.553,Mr
81,247887.415,6709460.888,27.173,Ki
81,247887.415,6709460.888,26.253,Mr
82,247689.314,6709106.452,24.453,Sa
82,247689.314,6709106.452,19.743,Ki
82,247689.314,6709106.452,19.583,Mr
83,247757.31,6708937.957,26.249,Sa
83,247757.31,6708937.957,17.649,Hk
83,247757.31,6708937.957,17.249,Srmr
83,247757.31,6708937.957,16.449,Mr
83,247757.31,6708937.957,16.199,Ki
84,247614.8,6708864.376,26.291,Sa
84,247614.8,6708864.376,23.831,Ki
85,247481.095,6709270.133,18.385,Sa
85,247481.095,6709270.133,9.785,Mr
85,247481.095,6709270.133,9.545,Ki
